3.847902500e+01 1.923951250e-02 2.475477045e-02 1.250000000e-02 1.990049751e-02 0.10 10.0 5.0e-02
3.886967500e+01 1.943483750e-02 2.487772074e-02 1.250000000e-02 9.950248756e-03 0.50 10.0 5.0e-02
4.062760000e+01 2.031380000e-02 2.465776202e-02 1.250000000e-02 -3.482587065e-02 1.00 10.0 5.0e-02
2.832212500e+01 1.416106250e-02 2.496070331e-02 1.250000000e-02 2.786069652e-01 2.00 10.0 5.0e-02
1.914185000e+01 9.570925000e-03 2.498481991e-02 1.250000000e-02 5.124378109e-01 2.00 25.0 2.0e-02
1.933717500e+01 9.668587500e-03 2.499456148e-02 1.250000000e-02 5.074626866e-01 2.00 33.333333333 1.66666666666e-0
1.992315000e+01 9.961575000e-03 2.498861520e-02 1.250000000e-02 4.925373134e-01 2.00 40.0 1.25e-02
2.070445000e+01 1.035222500e-02 2.480304521e-02 1.250000000e-02 4.726368159e-01 2.00 50.0 1.0e-02
2.265770000e+01 1.132885000e-02 2.486660230e-02 1.250000000e-02 4.228855721e-01 2.00 70.0 7.14286e-03



