3.828370000e+01 1.914185000e-02 2.482756729e-02 1.250000000e-02 2.487562189e-02 2.00 0.1 5.0
3.691642500e+01 1.845821250e-02 2.428087599e-02 1.250000000e-02 5.970149254e-02 2.00 1.0 5.0e-01
2.832212500e+01 1.416106250e-02 2.496070331e-02 1.250000000e-02 2.786069652e-01 2.00 10.0 5.0e-02
3.242395000e+01 1.621197500e-02 2.499474578e-02 1.250000000e-02 1.741293532e-01 2.00 15.0 3.3333333e-02
2.754082500e+01 1.377041250e-02 2.472419294e-02 1.250000000e-02 2.985074627e-01 2.00 17.0 2.941176e-02
2.109510000e+01 1.054755000e-02 2.473055778e-02 1.250000000e-02 4.626865672e-01 2.00 20.0 2.50e-02
1.953250000e+01 9.766250000e-03 2.482038633e-02 1.250000000e-02 5.024875622e-01 2.00 22.0 2.272727e-02
1.914185000e+01 9.570925000e-03 2.498481991e-02 1.250000000e-02 5.124378109e-01 2.00 25.0 2.0e-02
1.933717500e+01 9.668587500e-03 2.499456148e-02 1.250000000e-02 5.074626866e-01 2.00 33.333333333 1.66666666666e-02
1.992315000e+01 9.961575000e-03 2.498861520e-02 1.250000000e-02 4.925373134e-01 2.00 40.0 1.25e-02
2.070445000e+01 1.035222500e-02 2.480304521e-02 1.250000000e-02 4.726368159e-01 2.00 50.0 1.0e-02
2.265770000e+01 1.132885000e-02 2.486660230e-02 1.250000000e-02 4.228855721e-01 2.00 70.0 7.14286e-03
2.441562500e+01 1.220781250e-02 2.471458181e-02 1.250000000e-02 3.781094527e-01 2.00 100.0 5.0e-03
2.636887500e+01 1.318443750e-02 2.453797408e-02 1.250000000e-02 3.283582090e-01 2.00 150.0 3.3333333e-03
2.793147500e+01 1.396573750e-02 2.482821507e-02 1.250000000e-02 2.885572139e-01 2.00 200.0 2.50e-03
2.929875000e+01 1.464937500e-02 2.491083822e-02 1.250000000e-02 2.537313433e-01 2.00 250.0 2.0e-03
3.008005000e+01 1.504002500e-02 2.476953730e-02 1.250000000e-02 2.338308458e-01 2.00 300.0 1.6666667e-03
3.066602500e+01 1.533301250e-02 2.498149289e-02 1.250000000e-02 2.189054726e-01 2.00 350.0 0.14285714e-03
3.144732500e+01 1.572366250e-02 2.486405558e-02 1.250000000e-02 1.990049751e-01 2.00 400.0 0.125e-03
3.183797500e+01 1.591898750e-02 2.466345105e-02 1.250000000e-02 1.890547264e-01 2.00 450.0 0.111111111e-03
3.242395000e+01 1.621197500e-02 2.459292375e-02 1.250000000e-02 1.741293532e-01 2.00 500.0 1.0e-03









